trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
95,False,"{'a': 0.5, 'e': 0.6211445383053219}",20,4,-74.76694303534876,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 2}",1
96,False,"{'a': 0.5, 'e': 0.6180388156137953}",25,7,10.268257098336488,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.6149486215357263}",30,0,-29.33842125313393,"{0: 22, 1: 4, 2: 4, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.6118738784280476}",30,0,-175.15756455004603,"{0: 18, 1: 2, 2: 5, 3: 3, 4: 2}",0
99,False,"{'a': 0.5, 'e': 0.6088145090359074}",20,0,-133.2431435698631,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
100,False,"{'a': 0.5, 'e': 0.6057704364907278}",30,11,-100.96285616626513,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 2}",1
101,False,"{'a': 0.5, 'e': 0.6027415843082742}",20,9,-41.19416098690183,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
102,False,"{'a': 0.5, 'e': 0.5997278763867329}",30,16,-43.01782323486561,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
103,False,"{'a': 0.5, 'e': 0.5967292370047992}",20,5,-1.4159371152039706,"{0: 12, 1: 3, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.5937455908197752}",20,0,-76.82183659086081,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
105,False,"{'a': 0.5, 'e': 0.5907768628656763}",20,0,-20.712599612087654,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.5878229785513479}",25,0,-25.800502329827076,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.5848838636585911}",20,11,-17.285749363564953,"{0: 6, 1: 2, 2: 0, 3: 1, 4: 0}",1
