trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
235,False,"{'a': 0.5, 'e': 0.3079101286968243}",30,9,1.0843595070657766,"{0: 19, 1: 1, 2: 0, 3: 1, 4: 0}",1
236,False,"{'a': 0.5, 'e': 0.3063705780533402}",20,10,-4.130991703496971,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
237,False,"{'a': 0.5, 'e': 0.30483872516307353}",30,11,25.415496009838424,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.5, 'e': 0.3033145315372582}",25,5,33.94960331182374,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.5, 'e': 0.3017979588795719}",20,6,0.8586083211875235,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
240,False,"{'a': 0.5, 'e': 0.30028896908517405}",25,15,10.401114996948081,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.5, 'e': 0.2987875242397482}",20,9,18.684986178754514,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.5, 'e': 0.29729358661854943}",35,20,15.797394008738744,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.5, 'e': 0.29580711868545667}",20,0,-31.30728543850195,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
244,False,"{'a': 0.5, 'e': 0.2943280830920294}",25,14,-12.159931728099668,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
245,False,"{'a': 0.5, 'e': 0.29285644267656924}",20,5,-21.938049937063607,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
246,False,"{'a': 0.5, 'e': 0.2913921604631864}",20,6,20.30301396835135,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.5, 'e': 0.28993519966087045}",30,20,19.782068635850077,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.5, 'e': 0.2884855236625661}",25,10,12.1886505083414,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
249,False,"{'a': 0.5, 'e': 0.28704309604425327}",20,10,3.8065869473621032,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
250,False,"{'a': 0.5, 'e': 0.285607880564032}",20,11,5.497024523322217,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
251,False,"{'a': 0.5, 'e': 0.28417984116121187}",25,10,20.647930793280842,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.5, 'e': 0.2827589419554058}",25,15,17.363217562845104,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.5, 'e': 0.28134514724562876}",25,13,10.908813215727012,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
254,False,"{'a': 0.5, 'e': 0.2799384215094006}",30,6,17.093979481651875,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 0}",1
255,False,"{'a': 0.5, 'e': 0.27853872940185365}",25,17,2.937027817575062,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
256,False,"{'a': 0.5, 'e': 0.27714603575484437}",25,12,17.230309251949635,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.5, 'e': 0.2757603055760701}",30,0,-16.784108888143262,"{0: 25, 1: 0, 2: 5, 3: 0, 4: 0}",0
258,False,"{'a': 0.5, 'e': 0.2743815040481898}",20,9,7.910338443306775,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
259,False,"{'a': 0.5, 'e': 0.2730095965279488}",20,13,0.3983887610269665,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
260,False,"{'a': 0.5, 'e': 0.27164454854530906}",20,13,14.462014166666277,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.5, 'e': 0.2702863258025825}",25,4,-7.386671436604356,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
262,False,"{'a': 0.5, 'e': 0.2689348941735696}",30,6,29.04368291037175,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
263,False,"{'a': 0.5, 'e': 0.26759021970270175}",20,0,-17.655115051201133,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
264,False,"{'a': 0.5, 'e': 0.2662522686041882}",25,0,-40.4750675533564,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",1
265,False,"{'a': 0.5, 'e': 0.2649210072611673}",25,14,-1.5044183910859825,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
266,False,"{'a': 0.5, 'e': 0.26359640222486147}",25,15,5.91951730484897,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
267,False,"{'a': 0.5, 'e': 0.26227842021373715}",25,7,-24.422852601746655,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 0}",1
268,False,"{'a': 0.5, 'e': 0.2609670281126685}",20,15,10.0917488571939,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.5, 'e': 0.25966219297210513}",30,0,-66.27094954605192,"{0: 21, 1: 0, 2: 8, 3: 1, 4: 0}",0
270,False,"{'a': 0.5, 'e': 0.2583638820072446}",30,13,0.5573219334738968,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
271,False,"{'a': 0.5, 'e': 0.2570720625972084}",20,5,3.3351473191566985,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
272,False,"{'a': 0.5, 'e': 0.25578670228422234}",30,0,-61.07124048264636,"{0: 26, 1: 0, 2: 1, 3: 2, 4: 1}",0
273,False,"{'a': 0.5, 'e': 0.25450776877280124}",20,0,-32.00043127141943,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
274,False,"{'a': 0.5, 'e': 0.2532352299289372}",35,24,7.276798489656633,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
275,False,"{'a': 0.5, 'e': 0.2519690537792925}",25,13,8.15812961754012,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.5, 'e': 0.2507092085103961}",25,6,-63.7325961749695,"{0: 15, 1: 1, 2: 0, 3: 2, 4: 1}",1
277,False,"{'a': 0.5, 'e': 0.2494556624678441}",25,10,-2.276640516598295,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
278,False,"{'a': 0.5, 'e': 0.24820838415550486}",30,7,-4.961026542447802,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 0}",1
279,False,"{'a': 0.5, 'e': 0.24696734223472733}",30,10,36.00220331598712,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.5, 'e': 0.2457325055235537}",20,13,-0.46478681598312566,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
281,False,"{'a': 0.5, 'e': 0.24450384299593592}",30,13,15.158369148671431,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
282,False,"{'a': 0.5, 'e': 0.24328132378095624}",25,0,-45.62449238080956,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
283,False,"{'a': 0.5, 'e': 0.24206491716205145}",20,2,-10.15752476271359,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
284,False,"{'a': 0.5, 'e': 0.2408545925762412}",20,13,15.69928629111785,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.5, 'e': 0.23965031961336}",20,3,27.52374707195358,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.5, 'e': 0.2384520680152932}",25,3,8.105833495576167,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
287,False,"{'a': 0.5, 'e': 0.23725980767521673}",25,19,9.896176914823645,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.5, 'e': 0.23607350863684065}",20,5,13.027431817264633,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.5, 'e': 0.23489314109365644}",30,16,-69.92988035173106,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
290,False,"{'a': 0.5, 'e': 0.23371867538818816}",20,0,-7.28295210420384,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
291,False,"{'a': 0.5, 'e': 0.23255008201124722}",20,4,2.004478778426648,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
292,False,"{'a': 0.5, 'e': 0.231387331601191}",35,24,19.665890138056085,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.5, 'e': 0.23023039494318503}",20,14,10.663732645500339,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.5, 'e': 0.2290792429684691}",20,8,-0.9767768781667856,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
295,False,"{'a': 0.5, 'e': 0.22793384675362674}",20,0,-18.146547347172227,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
296,False,"{'a': 0.5, 'e': 0.22679417751985861}",25,11,18.242840443676094,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.5, 'e': 0.22566020663225933}",30,0,16.498249542198025,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
298,False,"{'a': 0.5, 'e': 0.22453190559909803}",25,12,-13.832665566885758,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
299,False,"{'a': 0.5, 'e': 0.22340924607110255}",25,17,-2.0790916495887783,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
300,False,"{'a': 0.5, 'e': 0.22229219984074702}",30,16,10.584653113105364,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
301,False,"{'a': 0.5, 'e': 0.2211807388415433}",20,7,21.931174082188626,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.5, 'e': 0.22007483514733558}",20,4,14.2587956884575,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
303,False,"{'a': 0.5, 'e': 0.2189744609715989}",35,24,-6.607421364412607,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
304,False,"{'a': 0.5, 'e': 0.2178795886667409}",25,17,-0.35122029902696505,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
305,False,"{'a': 0.5, 'e': 0.2167901907234072}",25,18,12.937584067777781,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.5, 'e': 0.21570623976979014}",20,0,10.59470252980173,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
307,False,"{'a': 0.5, 'e': 0.21462770857094118}",20,0,-35.68161601341644,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
308,False,"{'a': 0.5, 'e': 0.21355457002808648}",25,0,21.37283983551967,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
309,False,"{'a': 0.5, 'e': 0.21248679717794605}",25,11,-18.838839906214794,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
310,False,"{'a': 0.5, 'e': 0.21142436319205632}",20,0,-18.896370042169547,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
311,False,"{'a': 0.5, 'e': 0.21036724137609603}",20,11,14.609146926180836,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.5, 'e': 0.20931540516921554}",25,15,15.732404701902503,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.5, 'e': 0.20826882814336947}",25,20,7.206703493278749,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.5, 'e': 0.20722748400265262}",20,6,13.90829698496473,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
315,False,"{'a': 0.5, 'e': 0.20619134658263935}",20,0,1.7789030407936846,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
316,False,"{'a': 0.5, 'e': 0.20516038984972615}",25,15,-16.79705915177592,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
317,False,"{'a': 0.5, 'e': 0.2041345879004775}",20,9,-35.7630589458276,"{0: 8, 1: 0, 2: 1, 3: 2, 4: 0}",1
318,False,"{'a': 0.5, 'e': 0.2031139149609751}",30,19,2.137791141342917,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
319,False,"{'a': 0.5, 'e': 0.20209834538617025}",20,0,-24.048171193937275,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
320,False,"{'a': 0.5, 'e': 0.2010878536592394}",25,7,28.2361990306501,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
321,False,"{'a': 0.5, 'e': 0.2000824143909432}",25,0,12.613481369276315,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
322,False,"{'a': 0.5, 'e': 0.19908200231898848}",20,14,11.76113042316142,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.5, 'e': 0.19808659230739353}",20,15,7.00814875823966,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,False,"{'a': 0.5, 'e': 0.19709615934585656}",20,16,8.533290357469415,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.5, 'e': 0.19611067854912728}",25,0,20.38290481367633,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
326,False,"{'a': 0.5, 'e': 0.19513012515638165}",20,3,2.787518218799744,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
327,False,"{'a': 0.5, 'e': 0.19415447453059972}",20,0,12.225208014810194,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
328,False,"{'a': 0.5, 'e': 0.19318370215794672}",20,8,22.355590548415126,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,False,"{'a': 0.5, 'e': 0.192217783647157}",25,0,34.00385130740251,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
330,False,"{'a': 0.5, 'e': 0.1912566947289212}",25,18,15.889013024045303,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.5, 'e': 0.1903004112552766}",20,8,-4.6079238364626,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
332,False,"{'a': 0.5, 'e': 0.18934890919900021}",20,11,15.00910826673178,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.5, 'e': 0.18840216465300522}",20,9,9.04497065128195,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
334,False,"{'a': 0.5, 'e': 0.18746015382974018}",30,0,37.01587510432942,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
335,False,"{'a': 0.5, 'e': 0.1865228530605915}",25,17,17.581641703787806,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.5, 'e': 0.18559023879528855}",25,16,19.528935330582676,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.5, 'e': 0.1846622876013121}",30,13,-23.840568521357763,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 1}",1
338,False,"{'a': 0.5, 'e': 0.18373897616330553}",20,0,20.800899583493806,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
339,False,"{'a': 0.5, 'e': 0.182820281282489}",25,19,0.8080847035318275,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
340,False,"{'a': 0.5, 'e': 0.18190617987607657}",20,12,13.643583274756391,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.5, 'e': 0.18099664897669618}",20,3,17.492561892474413,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
342,False,"{'a': 0.5, 'e': 0.1800916657318127}",25,8,27.622448565527414,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.5, 'e': 0.17919120740315364}",25,13,0.48714905053734814,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
344,False,"{'a': 0.5, 'e': 0.17829525136613786}",20,10,21.152374958751558,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.5, 'e': 0.17740377510930716}",30,3,9.682508289248938,"{0: 24, 1: 0, 2: 3, 3: 0, 4: 0}",1
346,False,"{'a': 0.5, 'e': 0.17651675623376062}",25,16,4.141688901003906,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
347,False,"{'a': 0.5, 'e': 0.1756341724525918}",20,14,9.480089387673562,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.5, 'e': 0.17475600159032884}",25,16,5.107455513122598,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
349,False,"{'a': 0.5, 'e': 0.17388222158237718}",20,13,4.2675541059021,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
350,False,"{'a': 0.5, 'e': 0.1730128104744653}",25,0,22.988698485704056,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
351,False,"{'a': 0.5, 'e': 0.17214774642209296}",25,19,10.074805939559758,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
352,False,"{'a': 0.5, 'e': 0.1712870076899825}",20,11,18.247342001767002,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.5, 'e': 0.17043057265153258}",20,0,33.529258544183826,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
354,False,"{'a': 0.5, 'e': 0.16957841978827493}",20,11,15.166036560382004,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.5, 'e': 0.16873052768933355}",25,15,18.276420891448467,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
356,False,"{'a': 0.5, 'e': 0.1678868750508869}",20,13,12.846653906413733,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.5, 'e': 0.16704744067563246}",25,16,17.332254729984502,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.5, 'e': 0.1662122034722543}",25,3,15.007485189648605,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
359,False,"{'a': 0.5, 'e': 0.16538114245489302}",20,8,-11.061018440064128,"{0: 8, 1: 3, 2: 1, 3: 0, 4: 0}",1
360,False,"{'a': 0.5, 'e': 0.16455423674261854}",35,12,11.744853062880665,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
361,False,"{'a': 0.5, 'e': 0.16373146555890544}",25,10,-19.545100617777255,"{0: 13, 1: 0, 2: 0, 3: 2, 4: 0}",1
362,False,"{'a': 0.5, 'e': 0.16291280823111093}",20,8,20.656252081137254,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.5, 'e': 0.16209824418995536}",30,13,5.7189655957797125,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
364,False,"{'a': 0.5, 'e': 0.16128775296900558}",25,15,17.458278765050373,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
365,False,"{'a': 0.5, 'e': 0.16048131420416054}",25,10,13.880659131256674,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
366,False,"{'a': 0.5, 'e': 0.15967890763313974}",20,10,19.212310047311878,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
367,False,"{'a': 0.5, 'e': 0.15888051309497406}",25,11,11.64255388680607,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
368,False,"{'a': 0.5, 'e': 0.1580861105294992}",20,7,14.163957842747104,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
369,False,"{'a': 0.5, 'e': 0.1572956799768517}",25,10,13.813592231996019,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
370,False,"{'a': 0.5, 'e': 0.15650920157696743}",35,25,18.20648655890551,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
371,False,"{'a': 0.5, 'e': 0.1557266555690826}",20,9,20.257137107311756,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
372,False,"{'a': 0.5, 'e': 0.1549480222912372}",20,2,35.47199578079894,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
373,False,"{'a': 0.5, 'e': 0.15417328217978102}",20,0,19.41716314656999,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
374,False,"{'a': 0.5, 'e': 0.1534024157688821}",25,6,19.897796094389427,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
375,False,"{'a': 0.5, 'e': 0.1526354036900377}",20,2,3.376625907596962,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
376,False,"{'a': 0.5, 'e': 0.1518722266715875}",25,7,21.81015815386091,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
377,False,"{'a': 0.5, 'e': 0.15111286553822956}",25,16,4.373846592259255,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
378,False,"{'a': 0.5, 'e': 0.15035730121053842}",20,3,27.583332389851424,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
379,False,"{'a': 0.5, 'e': 0.14960551470448571}",25,13,-19.735117928832604,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
380,False,"{'a': 0.5, 'e': 0.14885748713096328}",30,12,9.137603882557467,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
381,False,"{'a': 0.5, 'e': 0.14811319969530845}",25,5,33.31483651060698,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
382,False,"{'a': 0.5, 'e': 0.1473726336968319}",25,19,10.585298647895222,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
383,False,"{'a': 0.5, 'e': 0.14663577052834775}",30,13,-26.32950033925259,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
384,False,"{'a': 0.5, 'e': 0.14590259167570602}",20,7,23.229591257380513,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
385,False,"{'a': 0.5, 'e': 0.1451730787173275}",25,4,7.44021544821763,"{0: 19, 1: 1, 2: 0, 3: 1, 4: 0}",1
386,False,"{'a': 0.5, 'e': 0.14444721332374086}",35,17,12.411475926034218,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
387,False,"{'a': 0.5, 'e': 0.14372497725712216}",20,0,9.563525714614968,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
388,False,"{'a': 0.5, 'e': 0.14300635237083656}",25,12,22.559490979698076,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
389,False,"{'a': 0.5, 'e': 0.14229132060898236}",30,10,-0.6190635093768757,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
390,False,"{'a': 0.5, 'e': 0.14157986400593744}",25,0,37.37309781370843,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
391,False,"{'a': 0.5, 'e': 0.14087196468590776}",20,16,8.710572370124808,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
392,False,"{'a': 0.5, 'e': 0.14016760486247823}",25,11,27.344639893887813,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
393,False,"{'a': 0.5, 'e': 0.13946676683816583}",20,8,10.342493895265966,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
394,False,"{'a': 0.5, 'e': 0.138769433003975}",20,10,15.00088527266358,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
395,False,"{'a': 0.5, 'e': 0.13807558583895513}",25,8,32.48396735998605,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
396,False,"{'a': 0.5, 'e': 0.13738520790976036}",25,2,38.67209999724123,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,False,"{'a': 0.5, 'e': 0.13669828187021155}",20,0,20.706113873730267,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
398,False,"{'a': 0.5, 'e': 0.13601479046086049}",20,12,14.715243262471212,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,False,"{'a': 0.5, 'e': 0.1353347165085562}",30,20,12.391441524054438,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
400,False,"{'a': 0.5, 'e': 0.1346580429260134}",25,13,21.34972629430205,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.5, 'e': 0.13398475271138335}",30,4,36.19130106512473,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
402,False,"{'a': 0.5, 'e': 0.13331482894782642}",25,7,16.029428319017956,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
403,False,"{'a': 0.5, 'e': 0.13264825480308728}",30,17,20.546254211112633,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
404,False,"{'a': 0.5, 'e': 0.13198501352907185}",30,14,26.01709784306192,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
405,False,"{'a': 0.5, 'e': 0.1313250884614265}",25,15,19.413710600070246,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
406,False,"{'a': 0.5, 'e': 0.13066846301911936}",30,16,13.65717908322156,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
407,False,"{'a': 0.5, 'e': 0.13001512070402377}",20,14,-2.3754081638038347,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
408,False,"{'a': 0.5, 'e': 0.12936504510050365}",20,4,29.322195870429354,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.5, 'e': 0.12871821987500112}",20,12,7.982023493346789,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.5, 'e': 0.12807462877562611}",25,0,-48.34494503813032,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
411,False,"{'a': 0.5, 'e': 0.12743425563174798}",20,14,-28.11201420761131,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
412,False,"{'a': 0.5, 'e': 0.12679708435358925}",20,8,-23.129394927826624,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
413,False,"{'a': 0.5, 'e': 0.1261630989318213}",30,16,-22.55832513831818,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
414,False,"{'a': 0.5, 'e': 0.1255322834371622}",25,8,-11.313204593411834,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
415,False,"{'a': 0.5, 'e': 0.12490462201997637}",25,17,17.59602117581835,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
416,False,"{'a': 0.5, 'e': 0.1242800989098765}",20,13,14.341330682702036,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
417,False,"{'a': 0.5, 'e': 0.12365869841532712}",25,6,10.509668308151609,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
418,False,"{'a': 0.5, 'e': 0.12304040492325048}",25,19,11.869423246394637,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
419,False,"{'a': 0.5, 'e': 0.12242520289863423}",20,8,9.452568838350851,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
